timestamp,currency,total_volume_usd,total_oi,call_volume,put_volume,spot
2026-07-05T14:07:13.896984+00:00,HYPE,99944.46000000004,141130.0,20820.0,14120.0,69.263
2026-07-05T15:36:27.712748+00:00,SOL,75442.81000000001,795940.0,21310.0,11040.0,81.8274
2026-07-05T15:36:27.712748+00:00,HYPE,115670.39000000004,146330.0,25600.0,13920.0,69.628
2026-07-05T16:42:02.633535+00:00,SOL,80328.82000000004,796970.0,21740.0,11290.0,81.4267
2026-07-05T16:42:02.633535+00:00,HYPE,116132.40000000005,146330.0,25620.0,13940.0,69.386
2026-07-05T17:44:49.137712+00:00,SOL,83077.28000000001,798570.0,22820.0,11950.0,81.4308
2026-07-05T17:44:49.137712+00:00,HYPE,120223.57000000004,148280.0,25940.0,15390.0,69.213
2026-07-05T18:47:09.799563+00:00,SOL,83903.12000000002,798590.0,22590.0,11950.0,81.5166
2026-07-05T18:47:09.799563+00:00,HYPE,137532.19000000003,152040.0,28130.0,16680.0,69.311
2026-07-05T20:07:45.835879+00:00,SOL,71624.57,799310.0,20570.0,10720.0,81.5176
2026-07-05T20:07:45.835879+00:00,HYPE,143049.37000000002,153310.0,28660.0,17760.0,70.005
2026-07-05T21:18:15.434798+00:00,SOL,66783.45999999999,799480.0,20740.0,10300.0,81.5069
2026-07-05T21:18:15.434798+00:00,HYPE,150135.87000000002,153780.0,29350.0,17830.0,70.865
2026-07-05T22:28:43.805606+00:00,SOL,84628.88000000002,803090.0,23340.0,11950.0,82.5792
2026-07-05T22:28:43.805606+00:00,HYPE,152656.15000000002,154990.0,29170.0,19270.0,71.637
2026-07-05T23:35:26.757860+00:00,SOL,83747.06000000003,803390.0,23380.0,11940.0,82.067
2026-07-05T23:35:26.757860+00:00,HYPE,128861.31,155960.0,26270.0,18220.0,71.046
2026-07-06T01:22:14.557506+00:00,SOL,84373.91000000002,807670.0,24780.0,13370.0,82.427
2026-07-06T01:22:14.557506+00:00,HYPE,110471.12999999999,158450.0,26090.0,17280.0,72.219
2026-07-06T05:48:41.306962+00:00,SOL,144426.95000000007,821060.0,24210.0,29400.0,80.8578
2026-07-06T05:48:41.306962+00:00,HYPE,109466.27,168010.0,17740.0,26740.0,70.903
2026-07-06T10:00:40.125127+00:00,SOL,155075.93999999997,818700.0,22370.0,30920.0,80.5431
2026-07-06T10:00:40.125127+00:00,HYPE,144811.58999999997,169240.0,26810.0,23300.0,69.958
